code,name,days,start_date,end_date,years,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,dd_start,dd_end,asset_class,industry,style
sh.518880,华安黄金ETF,3137,2013-07-29,2026-06-26,12.45,0.09780353171281497,0.1191143123916234,0.2433476301842148,0.1513707240738092,0.5139932585304774,-0.30384744623655907,0.32188367196830237,4272856107.6,2026-01-29,2026-06-25,大宗商品,-,-
sh.511380,博时可转债ETF,1507,2020-04-07,2026-06-26,5.98,0.05551572461619436,0.13188346327451783,0.0689685966600102,0.09983379476307541,0.35574851883052155,-0.1589621479596026,0.3492386415809045,10837283101.55,2022-02-10,2024-09-18,债券,-,-
sh.510310,易方达沪深300ETF,3219,2013-03-25,2026-06-26,12.77,0.07360104963236713,0.27967396841569014,0.10279287764121037,0.22179909464109054,0.24166487117137667,-0.4567843866171004,0.1611286457872371,2178952268.4,2015-06-12,2016-01-28,股票,宽基,大盘
sh.588200,科创芯片ETF嘉实,888,2022-10-26,2026-06-26,3.52,0.5064318543692299,2.048233695652174,0.5250655635160826,0.40373113372058644,1.2048410779880028,-0.4809554551323434,1.0529703925072982,4680269125.633333,2023-04-20,2024-02-05,股票,科技成长,小盘成长
sh.515880,国泰中证全指通信设备ETF,1645,2019-09-06,2026-06-26,6.53,0.27982924749471283,2.9512743628185905,0.7420714069739758,0.3498804811156916,0.7426228712907182,-0.46974063400576366,0.5957101158323028,3713506391.95,2020-02-25,2022-04-26,股票,科技成长,成长
sz.159941,广发纳指100ETF,2660,2015-07-13,2026-06-26,10.56,0.19776357722967974,0.3612521150592216,0.3122764955264994,0.23191723598983868,0.7664957564321281,-0.3109730848861284,0.6359507843005013,1787408411.9692667,2020-02-13,2020-03-18,海外,海外宽基,海外均衡
sz.159792,富国中证港股通互联网ETF,1146,2021-09-28,2026-06-26,4.55,-0.13553679091713722,-0.41666666666666663,-0.05732131270515772,0.3636532794361068,-0.42770627878928485,-0.5966228893058162,-0.2271733004994784,2069303786.5577,2021-10-22,2024-01-31,海外,海外互联网,海外均衡
sh.512400,南方中证申万有色金属ETF,2136,2017-09-01,2026-06-26,8.48,0.07175232356054839,0.6539485359361137,0.2089207060786873,0.32242542872801866,0.16050943551416957,-0.5335276967930029,0.13448659552605519,1227698450.8833334,2021-09-13,2024-02-05,股票,周期,均衡
sz.159907,广发国证2000ETF,3602,2011-08-10,2026-06-26,14.29,0.056448507836177386,0.3980582524271845,0.13784186449308766,0.26960312300365047,0.13519319594708057,-0.6267828843106181,0.09006070403192902,10226466.276066665,2015-06-12,2019-01-03,股票,宽基,小盘成长
sh.510880,华泰柏瑞上证红利ETF,4721,2007-01-18,2026-06-26,18.73,0.04469090788935781,-0.009403017712661277,0.018865153831211012,0.2378834906406388,0.10379412132747536,-0.75,0.05958787718581041,566702833.35,2007-10-15,2008-11-04,股票,宽基,价值
sz.159570,汇添富国证港股通创新药ETF,584,2024-01-22,2026-06-26,2.32,0.15766878266428064,-0.2686476652516677,,0.36595515477930934,0.3761903087478091,-0.42087542087542096,0.3746210276103307,2556107457.0182176,2025-08-18,2026-06-17,海外,海外医药,海外均衡
sh.515450,南方标普中国A股大盘红利低波50ETF,1535,2020-02-26,2026-06-26,6.09,0.09730783887351158,-0.03314917127071826,0.06176945001331724,0.13392247650662656,0.577258133885288,-0.13870246085011181,0.7015581286525756,206386159.15,2022-02-11,2022-10-31,股票,宽基,价值
sh.588170,科创半导体ETF华夏,295,2025-04-08,2026-06-26,1.17,2.1781701272670797,2.802105263157895,,0.4109954666445734,5.251080127201143,-0.2012513034410844,10.823135502845233,1930403600.4333334,2026-01-16,2026-03-23,股票,科技成长,小盘成长
sz.159509,景顺长城纳斯达克科技ETF(QDII),696,2023-08-08,2026-06-26,2.76,0.4200595389722763,0.6688061617458281,,0.31530531826341757,1.2688004794072392,-0.3046919163369135,1.3786369655694932,1059796077.1107167,2024-07-11,2025-04-07,海外,海外科技,海外成长
sz.159781,易方达中证科创创业50ETF,1205,2021-07-05,2026-06-26,4.78,0.0787465680689452,1.5992509363295877,0.34144809730427994,0.30431861036582736,0.19304296900647908,-0.596579476861167,0.13199677683057595,462776475.9051666,2021-07-21,2024-09-23,股票,科技成长,小盘成长
sh.512010,易方达沪深300医药ETF,3077,2013-10-28,2026-06-26,12.21,0.02777640114257296,-0.12532637075718012,-0.09301628634370418,0.27019534623757907,0.028780662771797985,-0.6550561797752809,0.042403082361732305,511488002.43333334,2021-02-10,2024-09-23,股票,医药防御,大盘
sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),847,2022-12-22,2026-06-26,3.36,0.7512368236587286,3.0743073047858935,0.8292641836196764,0.36307260020125803,2.014023705598798,-0.226789510985117,3.3124848693202056,8815431897.733334,2024-07-16,2024-09-20,海外,海外科技,海外成长
sz.159263,易方达国证价值100ETF,234,2025-07-08,2026-06-26,0.93,0.04081869310022079,0.04081869310022079,,0.13166487092266804,0.15811881297060953,-0.15831987075928913,0.25782419417384367,234531584.9185,2026-03-12,2026-06-26,股票,宽基,价值
sz.159558,易方达中证半导体材料设备主题ETF,490,2024-06-18,2026-06-26,1.94,1.0792908996613124,2.615518744551003,,0.40643805832050467,2.6062788116805438,-0.2505091649694501,4.308388875883776,718896678.1933999,2024-11-11,2025-01-03,股票,科技成长,成长
sh.516150,嘉实中证稀土产业ETF,1278,2021-03-17,2026-06-26,5.07,0.14996443681755767,0.7093220338983051,0.22883088447354472,0.33093482859555906,0.3927191265093145,-0.583912037037037,0.25682710289468746,341193908.48333335,2021-09-13,2024-02-05,股票,周期,均衡
sz.159259,成长ETF易方达,197,2025-08-28,2026-06-26,0.78,0.932564029286618,0.932564029286618,,0.35966777399525257,2.537241574772455,-0.16807511737089198,5.548495481509767,361013849.12345004,2025-10-29,2025-11-21,股票,宽基,均衡
